,,,,,,,,
,NOTES,"DPS
It's recommended to avoid building a DPS Noelle if she's not [C5+].
Noelle DPS is best optimized at [C6] where she converts an additional 50% DEF into ATK. Her ability to sustain her team with shields, heals and AoE damage makes for a reliable DPS when your team is built around her.

Regarding Weapon Choices:
Serpent Spine: When using Husk of Opulent Dreams, Serpent Spine stacks are prioritized over Husk of Opulent Dreams stacks due to their conflicting nature in gaining stacks (On-Field vs Off-Field).
Skyward Pride: Useful if you are unable to get ER from your substats. Does really well while its passive is active, but falls off in sustained fights. Comfort option that can lose to a high refined Whiteblind with stacks.

Regarding Artifact Sets:
Marechaussee Hunter (4): Optimal for personal damage by a few percentage points when paired with Furina.
Husk of Opulent Dreams (4): Noelle snapshots her DEF on burst cast. To get the full 4 stacks' DEF% boost during your first burst, you need to wait 12 seconds off field before swapping in. In abyss, time spent before the chamber starts still generates stacks.

DRIVER
Generally optimal when running multiple off-field DPS like Yelan, Xingqiu or Fischl. Instead of focusing on her own damage (but not neglecting it), Noelle takes a supportive role with Archaic Petra to buff her team, while still taking advantage of her AoE and strong defensive utility.

Regarding Artifact Main Stats Priority:
When driving a team with Furina, Noelle generally lacks DEF% from weapon, set bonus and team buffs. In order to counteract Furina's HP drain, especially with high HP units like Yelan, multiple DEF% Main Stats may be required.",,,,,,
,GOROU,,,,,,,
,,,,,,,,
,Last Updated: Version 6.3 / Luna IV,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,"BUFF SUPPORT
 â©","1. Favonius Warbow (4â©)
2. Snare Hook (4â©)
3. Sacrificial Bow (4â©)
4. Elegy for the End (5â©)*","1. The Exile (4)*
2. Noblesse Oblige (4)*
3. Emblem of Severed Fate (2) +Silken Moon's Serenade (2)

Conditional (See Notes):
Instructor (4)*
Silken Moon's Serenade (4)*","Sands - Energy Recharge
Goblet - Geo DMG / DEF%*
Circlet - Crit Rate / DEF%* / Healing Bonus*","1. Energy Recharge
2. DEF%*
3. Crit Rate*",1. Skill,"[C2] extends the duration of Gorou's Elemental Burst from 9 seconds to 12 seconds if you can obtain the required Crystallize shields. This allows his teammates to gain the 3 Geo 15% Geo DMG% bonus for a longer duration, so it's preferable to use Burst as your last ability before swapping into your DPS. "
,"NOTES
","SUPPORT
Gorou is a Support character that can give increasing buffs to your party members from his Elemental Skill and Elemental Burst based on the number of Geo characters in your team (capped at 3). Casting his Elemental Skill sets up a banner which gives flat DEF (1 Geo), Interruption Resistance (2 Geo) and Geo DMG% Bonus (3 Geo) for your active character standing inside the banner radius. Casting his Elemental Burst creates a field following the active character which deals periodic damage and offers the same bonuses given by the Skill, destroying any placed banners in the process, it also pulls in nearby Elemental Shards created by Crystallize reactions. Due to his kit focusing on buffing DEF and Geo DMG, he's a specialised support geared towards Geo DPS that scales with DEF, such as Noelle or Itto. He can see niche use at [C6] with other Geo characters as well.

Regarding Weapon Choices:
Elegy for the End: Elegy offers a helpful ER substat alongside an EM and ATK% buff for your teammates. While not directly useful in teams centered around Noelle or Itto, this could possibly be a good choice for future Geo DPS characters, or in a team which utilizes Geo Resonance.

Regarding Artifact Sets:
The Exile (4): Casting Elemental Burst regenerates a total of 6 Energy for each of your party member. This set reduces your Energy Requirements by a bit for all of your party members, which can be quite beneficial. Do note that this is a 4 star set so you're potentially missing out on 5 star stat scaling, which is a 34% difference in Main Stat value and 25% difference in individual substat value.
Noblesse Oblige (4): The effectiveness of this set increases if you've already met the ER requirement for Gorou. At that point, you'd no longer need to run the recommended ER% sets, which means you can opt for this instead. 
Instructor (4): This is a set Gorou may run when used in a Lunar-Crystallize team, notably when paired with Zibai. Because this is a 4-star set, you're losing out on 5-star stat scaling. It is recommended to run an offpiece 5-star sands while running this set.
Silken Moon's Serenade (4): Can be used when Gorou is paired with Columbina or Zibai so that other units can run more beneficial artifact sets.

Regarding Artifact Main Stats and Substats Priority:
DEF% Main Stats and substats (and potentially a Healing Bonus Main Stat on Circlet) can be considered at [C4] due to being able to heal the active character based on his DEF during burst. This is useful if you plan to use him as a solo healer.
Crit Rate circlet and substats can be considered when Gorou is using Favonius Warbow to trigger the passive comfortably.
ER% substats can usually be more important than getting the right Main Stat, as Gorou's damage contribution to a team is negligible, while being able to get Energy for his Burst is a lot more important.",,,,,,
,YUN JIN,,,,,,,
,,,,,,,,
,Last Updated: Version 3.2,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STAT,SUBSTATS,,
,,"BUFF SUPPORT
â©","1. Favonius Lance (4â©)*
2. Engulfing Lightning (5â©)
3. ""The Catch"" (4â©)
â Prototype Starglitter (4â©)
â Kitain Cross Spear (4â©)*","1. Husk of Opulent Dreams (4)
2. Husk of Opulent Dreams (2) Emblem of Severed Fate (2)
3. Noblesse Oblige (4)
","Sands - DEF% / Energy Recharge
Goblet - DEF%
Circlet - DEF% / Crit Rate*","1. DEF%
2. Energy Recharge
3. Flat DEF
4. Crit Rate*","1. Burst
2. Skill",
,NOTES,"SUPPORT
Yun Jin is a Support character for Normal Attack focused characters who can deal off-field damage via her Elemental Burst. Yun Jin's Elemental Burst grants nearby party members 30 stacks of additional flat damage bonus on Normal Attacks which scales with Yun Jin's current DEF. This means that external DEF buffs like from Gorou's Elemental Skill and/or Burst doesn't provide much to Yun Jin since it only buffs active characters and not off-field ones.

Regarding Weapon Choices:
Favonius Lance: With this weapon, try to aim for some Crit Rate stats to trigger the weapon passive reliably.
Kitain Cross Spear: Although the EM Main Stat isn't useful for Yun Jin, the passive decreases her Energy Recharge requirements by a lot, especially at higher refinements. It can reduce her ER% reqs depending on refinement. Note that she must cast Elemental Burst first before Skill, as the passive drains 3 energy initially when Skill is cast. This weapon can be left at level 1 while still getting full effect from the passive.

Regarding Artifact Main Stats and Substats Priority:
Crit Rate should only be considered when Yun Jin is equipping Favonius Lance to reliably proc the passive.",,,,,,
,KACHINA,,,,,,,
,,,,,,,,
,Last Updated: Version 5.0,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STAT,SUBSTATS,,
,,"BUFF & REACTION SUPPORT
â©","1. Favonius Lance (4â©)
2. Footprint of the Rainbow (4â©)*
3. Engulfing Lightning (5â©)
4. Prototype Starglitter (4â©)","1. Scroll of the Hero of Cinder City (4)
2. Archaic Petra (4)
3. Noblesse Oblige (4)
â Tenacity of the Millelith (4)","Sands - DEF% / Energy Recharge
Goblet - Geo DMG% / DEF%
Circlet - Crit Rate / DMG

","1. Energy Recharge*
2. Crit Rate / DMG
3. DEF%

*Prioritize Energy Recharge until requirements are met


","1. Skill
2. Burst","Turbo Twirly is considered a Geo Construct.

Kachina's Burst can bring Turbo Twirly back to her location if it is already on the field, allowing for a quick method of repositioning without having to actually ride Turbo Twirly. Her [C2] will summon a new Turbo Twirly if one isn't on the field instead."
,NOTES,"OFF-FIELD SUPPORT
As a free unit from Natlan, Kachina's value comes from being able to provide Off-Field Geo Application with her Elemental Skill, and being able to hold Scroll of the Hero of Cinder City (4) to great effect. Kachina's Elemental Burst can extend the radius in which Turbo Twirly creates shockwaves, allowing you to hit enemies from a distance if you need to. While she can be built for damage, her personal scalings are rather low and building for damage isn't a requirement.

Kachina's [C1] allows her to restore 3 Energy whenever she picks up a Crystalize Shard, and mounting/dismounting Turbo Twirly absorbs nearby shards. The energy restoration can only trigger once every 5 seconds, but does help alleviate some of her Energy needs.

Regarding Mainstat and Substat priority:
If you are building Kachina as a low investment support, using the correct mainstats is not important. Crit Rate should be prioritised further in this case when using Favonius Lance for more consistent triggers. 

Regarding Weapon Choices:
Footprint of the Rainbow: Kachina can opt to use this weapon if her ER needs are satisfied and the team does not value the energy from Favonius Lance.  Refinements are unnecessary unless you wish to see more out of Kachina's personal damage.

Regarding Artifact Choices:
Scroll of the Hero of Cinder City should be the top priority for Kachina, unless there is another unit in the same team that wants the set more, then you can use the other sets listed.",,,,,,
,ILLUGA,,,,,,,
,,,,,,,,
,Last Updated: Version 6.3 / Luna IV,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STAT,SUBSTATS,,
,,"BUFF SUPPORT
â©","1. Favonius Lance (4â©)
2. Dragon's Bane (4â©)*
3. Kitain Cross Spear (4â©) [R5]
4. Engulfing Lightning (5â©)","1.  Silken Moon's Serenade (4)*
2. +80 EM set (2) / +80 EM set (2)","Sands - Elemental Mastery / Energy Recharge
Goblet - Elemental Mastery
Circlet - Elemental Mastery","1. Energy Recharge*
2. Elemental Mastery
3. Crit Rate**

*Prioritize Energy Recharge until requirements are met


**Crit Rate only if using Favonius Lance","1. Burst
","Lightkeeper's Oath does not apply to Illuga himself.

Nightingale's Song starts with 21 stacks, and for every Geo Construct that is on the field when his Burst is used, or if Geo Constructs are created during his Burst, Nightingale's Song gains 5 stacks, up to a maximum of 15 additional stacks.

The Moondrifts that are created by the Lunar-Crystallize reaction count as Geo Constructs."
,NOTES,"OFF-FIELD BUFF SUPPORT
Illuga buffs Geo DMG and Lunar-Crystallize DMG after using his Elemental Burst, which grants the Nightingale's Song effect. This buff scales on Illuga's Elemental Mastery, and with his A4 talent, is further amplified depending on how many Geo and Hydro characters are in the party. With his A1 talent, using either his Skill or Burst will grant other team members the Lightkeeper's Oath effect, which boosts the Crit Rate and DMG of Geo DMG, and if Ascendant Gleam is active, boost the character's Elemental Mastery as well.

Illuga's [C1] grants him 12 Energy if he triggers a Geo-related reaction while on-field, effectively changing his Burst cost from 60 to 48. This has a cooldown of 15 seconds.

Regarding Weapon Choices:
Dragon's Bane: An Energy Recharge sands may be necessary if you are unable to get enough ER from substats alone.

Regarding Artifacts:
Silken Moon's Serenade (4): This set requires [C2] Illuga.",,,,,,
,,,,,,,,
,5 STAR,,,,,,,
,TRAVELER,,,,,,,
,,,,,,,,
,Last Updated: Version 5.4,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,"GEO DPS
 â©","1. Uraku Misugiri (5â©)
2. Primordial Jade Cutter (5â©)
â Mistsplitter Reforged (5â©)
3. Haran Geppaku Futsu (5â©)
â Absolution (5â©)
4. Light of Foliar Incision (5â©)
5. Splendor of Tranquil Waters (5â©)
â Summit Shaper (5â©)*
6. Wolf-Fang (4â©)*
7. Finale of the Deep (4â©)*
â Festering Desire (4â©) [R5]*
â Amenoma Kageuchi (4â©) [R5]*
â Skyward Blade (5â©)*
â Fleuve Cendre Ferryman (4â©) [R5]*
â Peak Patrol Song (5â©)*
â Freedom-Sworn (5â©)*
8. Favonius Sword (4â©)*","1. Nighttime Whispers in the Echoing Woods (4)*
â Golden Troupe (4)*
2. Archaic Petra (2) / Noblesse Oblige (2) / +18% ATK set (2) / Emblem of Severed Fate (2) / Golden Troupe (2)  [Choose Two]
3. Emblem of Severed Fate (4)*
4. Noblesse Oblige (4)*","Sands - ATK%
Goblet - Geo DMG
Circlet - Crit Rate / DMG","1. Crit Rate / DMG
2. ATK%
3. Energy Recharge","1. Skill = Burst

",
,NOTES,"GEO DPS
The Geo Traveler is ideally played as a quick swap DPS, swapping them in for short amounts of time to drop their skill or burst. While dealing decent damage of their own, the Geo Traveler is also a great battery for Geo units.
Regarding Weapon Choices: 
Summit Shaper: Assumes the Geo Traveler is shielded. Without reliable shield uptime, this weapon performs worse than Wolf-Fang.
Wolf-Fang: At [R5], this weapon performs similar to Haran Geppaku Futsu.
Finale of the Deep: Assumes Bond of Life is being cleared.
Festering Desire, Amenoma Kageuchi, Skyward Blade, Fleuve Cendre Ferryman: These weapons increase in value if the Geo Traveler has high Energy Recharge requirements.
Peak Patrol Song, Freedom-Sworn, Favonius Sword: While not that good for the Geo Traveler's personal damage, these weapons can be appealing due to the utility they provide to the team.

Regarding Artifact Sets:
Nighttime Whispers in the Echoing Woods (4): Assumes being shielded by crystallize shards.
Golden Troupe (4): Assumes skills are performed within 2 seconds after taking the field.
Emblem of Severed Fate (4): This set becomes better than 2 piece combinations in teams with high Energy Recharge requirements.
Noblesse Oblige (4): Subpar for the Geo Traveler's damage, but provides a good buff to the team.

Detailed Comparisons here.",,,,,,
,ZHONGLI,,,,,,,
,,,,,,,,
,Last Updated: Version 5.2,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,"SHIELD SUPPORT
â©","1. Black Tassel (3â©)
â Favonius Lance (4â©)*","1. Archaic Petra (4)*
â Scroll of the Hero of Cinder City (4)*
2. Deepwood Memories (4)*
â Instructor (4)*
3. Tenacity of the Millelith (4)*
4. Vourukasha's Glow (2) + Tenacity of the Millelith (2)","Sands - HP%
Goblet - HP%
Circlet - HP% / Crit Rate*","1. HP%
2. Flat HP
3. Energy Recharge","1. Skill
2. Burst",
,,"BURST SUPPORT
","1. Staff of Homa (5â©)
2. Lumidouce Elegy (5â©)
3. Primordial Jade Winged-Spear (5â©)
4. Skyward Spine (5â©) 
â Vortex Vanquisher (5â©) 
â Calamity Queller (5â©)
5. ""The Catch"" (4â©) [R5]
6. Deathmatch (4â©)
7. Engulfing Lightning (5â©) 
8. Lithic Spear (3 stacks) (4â©)
9. Blackcliff Pole (0 stacks) (4â©)
10. Missive Windspear (4â©)
11. Favonius Lance (4â©)*
","1. Emblem of Severed Fate (4)
2. Noblesse Oblige (2) Archaic Petra (2)*
3. Noblesse Oblige (4)*
4. Tenacity of the Millelith (4)*
","Sands - ATK% / HP%*
Goblet - Geo DMG 
Circlet - Crit Rate / DMG
","1. Crit Rate / DMG
2. ATK%
3. HP%
4. Energy Recharge","1. Burst
2. Skill
",
,NOTES,"SHIELD SUPPORT
This kind of playstyle is very straightforward; stack as much HP as possible. Prioritize HP scaling polearms such as Black Tassel and artifact sets such as Tenacity of the Millelith (4) to capitalize on Zhongli's Shield. Most of the time, especially on a HP-focused Zhongli, casting Elemental Burst is a DPS loss due to the cast time, which is why you'd only want to cast Elemental Burst for the Crowd Control it offers, and not for damage.

Note that if paired with Xingqiu and/or Beidou, the damage reduction from orbitals from Xingqiu's Elemental Skill and Elemental Burst and/or Beidou's Elemental Burst can be utilized on Zhongli's shield, making it basically unbreakable.

Regarding Artifact Main Stats and Substats Priority:
Crit Rate should only be considered when Zhongli is equipping Favonius Lance to reliably proc the passive.

Regarding Weapon Choices:
Favonius Lance: Use this weapon over Black Tassel if you value the team energy (Note that you need to build some amount of Crit Rate if you are running Favonius Lance to trigger the passive)

Regarding Artifact sets:
Archaic Petra (4): Can be more useful than Tenacity of the Millelith (4) in teams that don't scale as well with ATK buffs or already have another Tenacity of the Millelith holder. Though it can be an awkward set to utilize well without extending rotation times, since the Holder of the set (Zhongli in this case) has to pickup the shard for the buff to take effect.
Scroll of the Hero of Cinder City (4): Preferred over Archaic Petra if there are multiple Crystallize-compatible Elements or Geo characters that want DMG% bonus.
Tenacity of the Millelith (4): This set is best in slot for Shield HP, but it's usually inconsistent against Bosses and needs good Construct placement, due to it's inconsistency, it's better to use other buffing sets that are mentioned if they work for the team.
Deepwood Memories (4): This set works best in Dendro reaction focused teams (Bloom/Burgeon/Hyperbloom/Spread) that prefer having Deepwood Memories on Zhongli so that they can run more damage focused sets such as Gilded Dreams / Flower of Paradise Lost instead for the highest overall damage gain. That said it means keeping the enemies near your pillars to have good uptime on the Dendro resistance shred effect, which can be difficult with no grouping abilities in a team.
Instructor (4): This set is usually only used in a few heavily reaction focused teams, such as Ganyu Melt or Hu Tao Vape, where you're maximising your damage in exchange for a weaker shield. Though Zhongli's shield is still usually more than strong enough even with fewer substat rolls to strengthen it.

BURST SUPPORT
Zhongli can be utilized as a Geo Burst damage dealer due to his short Elemental Burst cooldown (12s) and low energy cost (40 Energy). His Elemental Skill Hold Cast (Shield) scales with HP and at Ascension 4, you would unlock a talent that allows your Elemental Burst to scale with 33% of Zhongli's Max HP, making him a great source of Shield and damage. Though in certain teams without either very high investment into his damage or enough time in the rotation to burst without extending rotation times his burst can be a DPS loss.

Regarding Weapon Choices:
Favonius Lance: If the team values the particles from this weapon, then it can be better than all the other options mentioned for overall team damage (Note that you need to build some amount of Crit Rate if you are running Favonius Lance to trigger the passive)

Regarding Artifact Main Stats:
ATK sands provides more damage than HP sands, but it does have lesser Shield HP. If you want more Shield HP, you can consider running a HP sands.

Regarding Artifact Sets:
Noblesse Oblige (2) Archaic Petra (2): On lower ER requirements where Zhongli doesn't need to worry about his energy needs, this set pulls ahead of Emblem of Severed Fate (4).
Noblesse Oblige (4): This set provides Zhongli more utility when casting his Elemental Burst, you can use this set on Zhongli if there is nobody else on the team who's equipping this set.
Tenacity of the Millelith (4): Just like Noblesse Oblige (4), this set provides Zhongli with more utility if his Elemental Skill hits an enemy. This set also provides Zhongli with stronger shields.",,,,,,
,ALBEDO,,,,,,,
,,,,,,,,
,Last Updated: Version 5.1,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,OFF-FIELD DPS â©,"1. Peak Patrol Song (5â©)*
â Uraku Misugiri (5â©)
2. Harbinger of Dawn (3â©) [R5]*
â Flute of Ezpitzal (4â©) [R5]
â Primordial Jade Cutter (5â©)
â Cinnabar Spindle (4â©) [R5]","1. Husk of Opulent Dreams (4)*
â Golden Troupe (4)*
2. Husk of Opulent Dreams (2) Archaic Petra (2) Golden Troupe (2) [Choose Two]
3. Archaic Petra (4)*
4. Tenacity of the Millelith (4)*","Sands - DEF%
Goblet - Geo DMG / DEF%
Circlet - Crit Rate / DMG","1. Crit Rate / DMG
2. DEF%
3. Energy Recharge
4. ATK%","1. Skill
2. Burst*

*Albedo's Burst is not used in some teams, namely Geo teams such as Itto, Albedo, Gorou, Flexible. In such cases, you do not need to level it.
",Casting Albedo's Elemental Skill on top of a boss will summon a Silver Isotoma as long as the initial cast hit the opponent.
,NOTES,"OFF-FIELD DPS
Albedo is a character that can summon a Geo Construct from his Elemental Skill which deals damage on a 2 second interval whenever enemies in the field are damaged. His Elemental Burst provides 125 EM to the party, which is good on teams that rely on amplification reactions, such as Vaporize. It is worth noting that since his stat priority is focused on DEF (Elemental Skill scaling), you might want to skip casting Elemental Burst if your team doesn't benefit from the 125 EM buff.

OFF-FIELD DPS
Regarding Weapon Choices:
Peak Patrol Song: Make sure you Normal Attack twice before using his Skill with this weapon.
Harbinger of Dawn: Albedo's Elemental Skill scales with Defense, which is why the Base ATK from the weapon doesn't matter that much. Harbinger of Dawn offers a lot of Crit stats which is why it is one of the strongest weapons for him despite being a 3 star weapon. The downside of this weapon is that you'd need to keep Albedo's HP at 90% or higher to benefit from the passive, so it might be annoying to use against certain enemies which has a HP lowering debuff, even when off-field, such as Corrosion.

Regarding Artifact Sets:
Husk of Opulent Dreams (4): Due to Albedo's skill snapshotting upon cast, you need to either wait ~12 seconds before starting a domain/fight to reach max stacks or recast his skill to benefit from the DEF and Geo DMG bonus provided by the 4 piece set effect.
Golden Troupe (4): With Peak Patrol Song and Cinnabar Spindle, this set performs similarly to Husk of Opulent Dreams (4), and slightly better than Husk with the addition of Gorou and another Geo teammate assuming Spindle still. With Harbinger of Dawn however, this set performs worse than Husk of Opulent Dreams (4). It performs worse if Albedo uses his Burst.
Tenacity of the Millelith (4): This set is used for the 4 piece set effect which has good uptime on Albedo. Worth noting that this set decreases your Elemental Skill damage by a lot if compared to the other offensive sets.
Archaic Petra (4): This set is a niche option for Albedo. It is lower personal damage than several other set options, but can be a reasonable option in some teams for buffing other characters. Do note that the 4pc bonus requires you to pick the shard up on Albedo. ",,,,,,
,ARATAKI ITTO,,,,,,,
,,,,,,,,
,Last Updated: Version 5.5,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,"DPS
 â©","1. Redhorn Stonethresher (5â©)
2. Serpent Spine (4â©)*
â Beacon of the Reed Sea (5â©)
â Verdict (5â©)
â  A Thousand Blazing Suns (5â©)
3. Whiteblind (4â©) [R5]*
â  Skyward Pride (5â©)*","1. Husk of Opulent Dreams (4)
2. Desert Pavilion Chronicle (4)
3. Retracing Bolide (4)*
4. Husk of Opulent Dreams (2) / Archaic Petra (2) / Emblem of Severed Fate (2) [Choose Two]","Sands - DEF%
Goblet - Geo DMG
Circlet - Crit Rate / DMG","1. Energy Recharge*
2. Crit Rate / DMG
3. DEF%
4. ATK%

*Prioritize Energy Recharge until you meet the requirement.","1. Normal Attack
2. Burst
3. Skill",
,NOTES,"DPS
Arataki Itto is a Geo DPS Character who takes advantage of his Elemental Burst's ATK boost and Geo infusion to deal significant damage during its uptime. His combos involve stacking and unleashing his Charged Attacks, named Arataki Kesagiri. Arataki Kesagiri consumes no stamina and can be cast continuously as long as he has Superlative Superstrength stacks. Superlative Superstrength is capped at 5 stacks at any given time, and Itto gets those stacks when his 2nd and 4th Normal Attack string hits an enemy. Activating his Elemental Burst allows his 1st and 3rd Normal Attack to also generate stacks. Itto's Elemental Skill deals damage to enemies on cast and summons a taunt, Ushi, which is considered a Geo Construct. This initial cast damage grants Itto 1 Superlative Superstrength stack, and upon Ushi leaving the field, Itto is granted another stack. When Ushi takes damage, Itto gains a stack (capped at 1 stack per 2 seconds). Itto's Elemental Burst converts his Normal and Charged Attacks into Geo DMG, increases Itto's Normal Attack Speed and converts a portion of Itto's current DEF to ATK.

Regarding Weapon Choices:
Serpent Spine: This weapon scales great with refines on Itto,  making it way better than similar ranking options at [R5]. When using Husk of Opulent Dreams, Serpent Spine stacks are prioritized over Husk of Opulent Dreams stacks due to their conflicting nature in gaining stacks (On-Field vs Off-Field).
Skyward Pride: Can be a great or bad weapon for Itto depending on your ER needs. The less Energy Recharge you need (due to particle generation from your party members or ER from subs), the less useful this weapon becomes.
Whiteblind: Your rotations often start with 1 stack of this weapon, and due to Itto's Burst snapshotting DEF on cast, you're unable to take advantage of further DEF% from the stacks.

Regarding Artifact Sets: 
Retracing Bolide (4): This set grants you an additional 40% Normal and Charged Attack DMG when shielded. Crystallize can be unreliable so a consistent shielder is preferred, such as Zhongli.

Detailed weapon comparisons here.",,,,,,
,NAVIA,,,,,,,
,,,,,,,,
,Last Updated: Version 5.4,,,,,,,
,,ROLE,EQUIPMENT,,STATS PRIORITY,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
